City,Year,Month,Pollutant,N,N_valid,N_missing,Mean,SD,Median,P25,P75,IQR,Min,Max
Amman,2015,1,PM10,31,31,0,100.59256423887598,66.32066205140502,91.28333333333336,54.75,138.16666666666666,83.41666666666666,13.18333333333333,317.1438446580443
Amman,2015,1,NO2,31,31,0,25.301330645161293,9.869012792585893,26.91666666666667,17.932499999999997,32.55,14.6175,6.919999999999999,41.01666666666667
Amman,2015,1,SO2,31,31,0,16.323709677419355,12.002903483306442,13.8875,6.415,24.8,18.385,1.7375,39.475
Amman,2015,2,PM10,28,26,2,72.41910929751899,44.995999430500774,63.33842086774668,43.95833333333333,90.9125,46.954166666666666,12.85,222.3833333333333
Amman,2015,2,NO2,28,28,0,21.224464285714284,6.328608179726759,22.139166666666668,17.644166666666667,23.866666666666667,6.2225,8.078333333333333,37.58333333333334
Amman,2015,2,SO2,28,28,0,10.417165178571429,7.881395041698058,9.05875,6.083125,11.321875,5.2387500000000005,2.31,38.05
Amman,2015,3,PM10,31,31,0,72.18548242193133,33.3215457636065,58.53333333333333,46.5,89.25833333333333,42.758333333333326,34.36666666666667,170.9833333333333
Amman,2015,3,NO2,31,31,0,24.07389712569513,6.123552937082961,21.68333333333333,20.3275,25.5,5.172499999999999,17.56166666666667,44.3
Amman,2015,3,SO2,31,31,0,10.056538422835683,5.519927546051517,7.795,6.6075,11.63625,5.0287500000000005,3.9775,25.275
Amman,2015,4,PM10,30,30,0,82.85254166666667,36.68695828386439,73.68333333333332,56.24166666666667,95.84166666666667,39.6,32.28333333333333,168.3333333333333
Amman,2015,4,NO2,30,30,0,25.103569444444442,8.041444386543937,24.188333333333336,19.21666666666667,27.868750000000006,8.652083333333337,14.28,42.81666666666666
Amman,2015,4,SO2,30,30,0,8.951020833333335,4.207556563238148,8.13625,5.36875,12.413125,7.0443750000000005,3.215,17.375
Amman,2015,5,PM10,31,31,0,73.33567142862152,41.8251572030818,63.15,52.275,78.10833333333333,25.833333333333336,30.38333333333334,251.3058142872665
Amman,2015,5,NO2,31,31,0,21.755161290322576,5.524536738661622,21.45,17.394166666666663,27.121666666666666,9.727500000000003,10.5,29.95
Amman,2015,5,SO2,31,31,0,8.093508064516131,2.4124427544882376,7.775,6.595625,9.3575,2.761875,4.52,14.1475
Amman,2015,6,PM10,30,30,0,57.474513888888886,37.00658532510624,46.55833333333333,41.98489583333334,51.3875,9.402604166666663,33.4,208.5
Amman,2015,6,NO2,30,30,0,18.922444444444444,4.256404093948717,18.875,15.783750000000003,21.684166666666666,5.900416666666663,12.49166666666667,31.76666666666667
Amman,2015,6,SO2,30,30,0,5.071708333333334,2.129941629525744,4.57625,3.6037500000000002,6.6031249999999995,2.9993749999999992,2.3825,11.3625
Amman,2015,7,PM10,31,31,0,56.99746389000925,9.91076216797404,56.06666666666666,51.43528200015194,59.539583333333326,8.104301333181382,42.58333333333334,92.35
Amman,2015,7,NO2,31,31,0,22.66825513315896,3.8802257681441064,21.76333333333334,19.813333333333333,25.222500000000004,5.409166666666671,15.08333333333333,32.74166666666667
Amman,2015,7,SO2,31,31,0,7.200266964675774,1.6968527244616431,6.9525,5.883749999999999,8.5275,2.6437500000000007,4.125,10.9
Amman,2015,8,PM10,31,31,0,79.65254556177726,58.17407821968159,61.23333333333333,51.3,82.53333333333333,31.233333333333334,41.63333333333333,292.5223914757211
Amman,2015,8,NO2,31,31,0,20.77217653126687,4.926882407346451,19.70166666666666,17.435416666666665,23.240833333333335,5.80541666666667,14.16333333333333,32.83825262765483
Amman,2015,8,SO2,31,31,0,4.4474477411810485,3.0450042961200565,3.345,2.35375,6.2775,3.92375,1.146,12.27177014455826
Amman,2015,9,PM10,30,27,3,109.3409061025849,85.15198127636232,71.95,61.866666666666674,134.2333333333333,72.36666666666662,44.15,416.0379598357379
Amman,2015,9,NO2,30,30,0,23.457041287512222,4.905718813163686,23.675,19.475,26.77,7.294999999999998,14.42666666666667,32.36833333333333
Amman,2015,9,SO2,30,30,0,6.641535231852833,3.7663504268999124,5.585000000000001,3.3825000000000003,9.44875,6.06625,2.29,13.845
Amman,2015,10,PM10,31,31,0,82.81169354838711,32.59170399759494,80.96666666666667,54.94166666666668,113.46666666666664,58.52499999999996,38.45,142.7166666666667
Amman,2015,10,NO2,31,31,0,24.184408602150533,5.579281723125085,23.78333333333333,19.715833333333336,27.841666666666665,8.125833333333329,13.83,35.80666666666666
Amman,2015,10,SO2,31,31,0,7.0042741935483885,4.631087668929603,6.38,2.89375,11.305,8.411249999999999,0.9175,17.035
Amman,2015,11,PM10,30,29,1,91.44423692259,47.782363712302384,80.71666666666667,61.71666666666667,107.9333333333333,46.216666666666626,39.26666666666667,266.6005617613097
Amman,2015,11,NO2,30,30,0,21.189979343898596,5.2194253041895795,21.150431594936016,17.40958333333333,25.818252638614556,8.408669305281226,11.43666666666667,31.0
Amman,2015,11,SO2,30,30,0,6.882849935648709,4.3862489922755,5.495,3.1106249999999998,9.719375,6.60875,1.8975,16.315625
Amman,2015,12,PM10,31,31,0,78.47988838831427,33.82417958975741,67.08333333333333,54.34166666666667,100.85,46.508333333333326,26.07779003774253,155.0
Amman,2015,12,NO2,31,31,0,25.705877282906084,6.5098942658480965,26.015,20.839166666666664,29.119166666666665,8.280000000000001,14.54885577831766,39.2
Amman,2015,12,SO2,31,31,0,14.921451612903228,9.48635488860609,10.045,7.697500000000001,19.015,11.317499999999999,4.22,39.275
Amman,2016,1,PM10,31,31,0,96.68713629591305,84.25432920284676,77.46666666666665,48.10000000000001,107.35,59.249999999999986,12.20666666666667,351.0574748903205
Amman,2016,1,NO2,31,31,0,18.623199562460236,6.865601009563598,19.46333333333333,13.30916666666667,24.6125,11.303333333333331,6.735619295399939,30.65166666666667
Amman,2016,1,SO2,31,31,0,7.986592741935483,4.829448305272532,6.37,4.075,9.76625,5.691249999999999,2.3775,18.8775
Amman,2016,2,PM10,29,29,0,79.51561217685709,33.08354798228867,84.18333333333334,56.05,105.4,49.35000000000001,15.43666666666667,143.4333333333333
Amman,2016,2,NO2,29,29,0,19.44841954022988,5.061781128388279,20.71666666666667,15.10833333333333,23.27,8.161666666666669,9.375,26.9875
Amman,2016,2,SO2,29,29,0,11.093900862068967,5.132209442598785,9.83,6.7225,14.435,7.7125,4.6125,21.075
Amman,2016,3,PM10,31,31,0,80.02548387096778,47.5962104276473,65.18333333333334,47.0,99.68333333333334,52.68333333333334,25.67333333333333,177.1666666666667
Amman,2016,3,NO2,31,31,0,15.811922043010751,4.762156393356369,15.16833333333333,11.80666666666667,19.039166666666667,7.232499999999996,8.561666666666667,26.555
Amman,2016,3,SO2,31,31,0,8.962036290322581,3.9165304186222376,7.83,6.0275,11.251249999999999,5.223749999999999,4.7,20.5
Amman,2016,4,PM10,30,30,0,82.41166666666665,35.09609226863777,80.3,58.04166666666667,100.11666666666665,42.074999999999974,28.0,167.0
Amman,2016,4,NO2,30,30,0,19.769076562804013,4.591708663753503,19.511666666666663,16.22,22.96625,6.74625,10.5391431825731,30.01
Amman,2016,4,SO2,30,30,0,9.975833333333332,3.225993520669609,11.068750000000001,7.180625,12.116249999999999,4.935624999999999,4.7625,17.075
Amman,2016,5,PM10,31,31,0,67.38755142158453,38.19750528952232,52.6,41.458333333333336,79.33333333333333,37.87499999999999,30.11666666666666,178.8333333333333
Amman,2016,5,NO2,31,31,0,14.177896996299758,4.602166696022494,13.7,10.42666666666667,15.851666666666665,5.424999999999995,7.06,22.75333333333333
Amman,2016,5,SO2,31,31,0,6.686598107802672,2.6555314739675646,6.245,4.24125,8.230145670941393,3.9888956709413934,3.3625,12.7275
Amman,2016,6,PM10,30,30,0,72.24388888888889,29.084456712926237,62.96666666666667,50.93333333333333,85.32083333333334,34.38750000000001,32.03333333333333,136.8166666666667
Amman,2016,6,NO2,30,30,0,13.384277777777777,4.288780045469381,12.2725,10.04,15.362500000000002,5.322500000000003,7.135000000000001,21.92916666666666
Amman,2016,6,SO2,30,30,0,6.623954166666667,2.5455312369990817,5.81125,4.623125,8.616875,3.9937500000000004,3.138,11.9
Amman,2016,7,PM10,31,31,0,50.435483870967744,8.130555925978982,49.6,45.05,55.19166666666666,10.141666666666666,33.86666666666667,68.36666666666666
Amman,2016,7,NO2,31,31,0,14.641884887129917,2.5122171599139134,14.95,13.125967225332765,16.440833333333334,3.314866108000569,9.408333333333331,18.55
Amman,2016,7,SO2,31,31,0,5.268899193548388,1.318863522925513,4.905,4.4628125,6.08875,1.6259375,3.44,9.675
Amman,2016,8,PM10,31,31,0,55.80967741935485,7.186787999122068,56.95000000000001,51.40833333333333,59.83333333333334,8.425000000000011,40.8,75.86666666666666
Amman,2016,8,NO2,31,31,0,20.113398976951554,4.308080506152229,19.89166666666667,16.891666666666666,23.523333333333333,6.631666666666668,13.17333333333333,26.81833333333333
Amman,2016,8,SO2,31,31,0,5.145576612903227,1.7552810235227234,4.49,3.9775,5.9,1.9225000000000003,3.03275,9.7825
Amman,2016,9,PM10,30,30,0,57.42777777777778,22.65291982285371,53.29166666666666,43.329166666666666,62.44583333333333,19.116666666666667,33.56666666666667,145.5
Amman,2016,9,NO2,30,30,0,24.080680555555553,4.406974985849361,23.574999999999996,21.739583333333336,27.08854166666667,5.348958333333336,15.27833333333333,33.73333333333333
Amman,2016,9,SO2,30,30,0,6.790242954277096,3.454468962229657,5.81875,4.345625,8.149375000000001,3.803750000000001,3.3375,15.0625
Amman,2016,10,PM10,31,31,0,95.99193548387096,31.27146133308787,97.86666666666667,69.65833333333333,113.8666666666667,44.20833333333337,47.86666666666667,175.8333333333333
Amman,2016,10,NO2,31,31,0,27.089166666666667,4.011253850568885,27.25333333333333,23.775,29.875,6.100000000000001,20.1,33.3
Amman,2016,10,SO2,31,31,0,17.37120967741935,7.767649201200014,16.145,11.528749999999999,22.5625,11.033750000000001,5.395,34.15
Amman,2016,11,PM10,30,30,0,118.0332534676415,55.5667946826113,109.40833333333335,85.56666666666666,140.08750000000003,54.52083333333337,42.96666666666667,260.5
Amman,2016,11,NO2,30,30,0,22.312124999999995,5.644436392846316,20.855,19.1875,25.60375,6.416250000000002,13.785,38.93333333333333
Amman,2016,11,SO2,30,30,0,19.16425,12.887948613383235,13.0725,9.0125,28.06,19.0475,5.12,52.2
Amman,2016,12,PM10,31,31,0,74.88293010752689,37.31996065611077,66.95,46.875,81.79166666666666,34.91666666666666,30.1,167.5
Amman,2016,12,NO2,31,31,0,19.096666666666664,3.660856507754758,19.47,17.3825,21.821666666666665,4.439166666666665,8.64,23.83333333333333
Amman,2016,12,SO2,31,31,0,11.394616935483873,6.72075390015072,9.025,5.7212499999999995,17.18,11.45875,1.825625,25.45
Amman,2017,1,PM10,31,31,0,69.86188172043012,31.42353751198336,68.35000000000001,49.474999999999994,89.57500000000002,40.10000000000002,12.385,147.5
Amman,2017,1,NO2,31,31,0,19.810053763440855,4.25498923887465,20.76666666666667,18.5275,22.685000000000002,4.157500000000002,8.106666666666667,26.71666666666667
Amman,2017,1,SO2,31,31,0,11.645725806451612,6.092336004958347,10.5075,7.4075,14.4275,7.0200000000000005,1.6325,30.85
Amman,2017,2,PM10,28,28,0,75.70943452380952,35.27828060596269,86.53333333333333,44.04166666666667,97.04583333333332,53.00416666666665,19.07166666666667,143.3333333333333
Amman,2017,2,NO2,28,28,0,21.358749999999997,3.7066695150812827,21.058333333333337,18.64791666666667,24.55,5.90208333333333,13.84,26.95
Amman,2017,2,SO2,28,28,0,14.641361607142857,6.989205789715634,15.03875,8.44875,18.604375,10.155625,4.0175,27.25
Amman,2017,3,PM10,31,30,1,74.0772222222222,43.05664883916605,63.49166666666667,45.3625,85.95833333333334,40.595833333333346,28.05,216.6666666666667
Amman,2017,3,NO2,31,30,1,20.332472222222226,4.156758567153048,19.4975,16.455416666666668,24.000000000000007,7.544583333333339,13.65333333333333,28.19166666666667
Amman,2017,3,SO2,31,30,1,7.0914375,3.016492155339043,6.1625,4.668749999999999,9.50625,4.8375,3.0725,12.395
