City,Pollutant,N,N_valid,N_missing,Mean,SD,Median,P25,P75,IQR,Min,Max
Amman,PM10,1826,1792,34,68.8651539616469,42.758523169273516,56.28333333333333,42.016666666666666,82.44583333333334,40.429166666666674,12.20666666666667,416.0379598357379
Amman,NO2,1826,1794,32,22.660141856414135,7.214881797725074,21.782768057421258,17.993020833333333,26.4675,8.474479166666669,6.735619295399939,68.43950263004638
Amman,SO2,1826,1794,32,8.66320728220137,6.412492969652744,6.8218452417637785,4.7006250000000005,10.58455078573932,5.88392578573932,0.6377499999999999,92.72114310599912
Irbid,PM10,1826,1787,39,48.969000950436715,24.393810486462904,41.90000000000001,33.699424178054684,57.9,24.200575821945314,9.260000000000002,209.0
Irbid,NO2,1826,1793,33,18.324276075198217,7.112056094797156,17.675,13.205,23.1,9.895000000000001,1.606222720309924,47.05
Irbid,SO2,1826,1729,97,8.939025737420474,8.000002618492935,5.85,3.53,12.7,9.17,0.058,54.5
Zarqa,PM10,1826,1753,73,78.73657734340924,36.925987220938346,72.55,51.5,97.85,46.349999999999994,10.11160576046086,348.7062436696746
Zarqa,NO2,1826,1795,31,18.506392197490996,7.157914545884667,16.75,13.4,21.8,8.4,2.148045241402138,48.1
Zarqa,SO2,1826,1795,31,8.1766289003992,6.65467045021798,6.325,3.6075,9.9125,6.305,0.206,37.85
